DATE, DB, G1, G2, G3, G4, G5, G6, G7, KT
13/03/2023,17375,14288, 47795-89010, 20929-26532-57195-21787-86420-48111, 6956-1055-0805-3323, 1072-2589-1620-1450-8125-7411, 103-269-494, 80-74-83-51, 6NC-1NC-2NC-9NC-8NC-12NC
12/3/2023,56695,14685, 86290-10847, 34708-21368-14720-47299-88746-86664, 7445-4972-3960-2366, 5485-6833-4077-3698-4339-1046, 108-993-097, 03-96-19-08, 6ND-8ND-5ND-1ND-9ND-10ND
11/3/2023,47076,91911, 68062-89887, 97745-08606-90078-48492-59226-23122, 1723-6001-7707-8139, 9794-4226-2120-7005-9711-9405, 880-643-489, 08-68-94-48, 7NE-4NE-10NE-1NE-5NE-11NE
10/3/2023,24420,64647, 92456-73117, 43430-17679-18857-58788-06086-56612, 6449-3646-0895-3184, 9301-4549-8069-7225-3674-8235, 810-645-849, 97-07-58-81, 8NF-13NF-4NF-7NF-2NF-1NF
9/3/2023,68205,60388, 32503-77792, 69127-59764-69821-57609-39073-81374, 5421-3336-3075-0339, 0433-8377-5578-0355-0713-1038, 147-834-427, 51-56-78-37, 4NG-12NG-6NG-9NG-7NG-13NG
8/3/2023,73787,6261, 48267-37696, 25011-20381-31012-72359-95514-05128, 8426-8924-7256-4224, 9581-4713-2690-3000-8935-3073, 905-189-094, 81-62-59-02, 10NH-14NH-12NH-5NH-3NH-15NH
7/3/2023,75877,8692, 87361-31241, 06055-87073-97510-52584-52539-03248, 9565-5285-8430-3314, 4666-6378-7540-2000-6823-1143, 444-841-655, 00-04-38-45, 11NK-6NK-4NK-2NK-12NK-13NK
6/3/2023,39919,34271, 89252-08794, 57917-23934-04144-22358-90155-00374, 7287-6916-3685-6225, 7565-8826-2483-8057-3671-8416, 746-208-679, 47-73-97-23, 14NL-5NL-4NL-15NL-7NL-3NL-9NL-18NL
5/3/2023,58118,72226, 98850-15773, 71749-51632-31209-50187-40158-45441, 5688-2460-5843-0309, 4886-9358-5870-7416-4769-2711, 963-478-989, 55-01-37-62, 5NM-2NM-3NM-1NM-4NM-11NM
4/3/2023,6743,89246, 53202-56726, 17865-78228-68740-25838-07187-80970, 6109-2529-0747-1139, 8653-2345-9186-3799-9284-2745, 717-825-425, 96-47-10-23, 3NP-12NP-9NP-15NP-2NP-5NP
3/3/2023,37856,94473, 55952-43597, 50852-71048-33458-28076-63553-28692, 7866-1039-5557-2822, 9848-2486-5307-9392-0905-1663, 768-839-057, 53-35-77-97, 1NQ-11NQ-5NQ-3NQ-13NQ-2NQ
2/3/2023,47577,75833, 93046-49671, 61491-30540-32869-72026-84983-98857, 5202-9315-8696-9581, 1327-4598-9534-6720-2435-3282, 854-189-175, 09-96-23-53, 9NR-6NR-15NR-5NR-8NR-4NR
